No.,Ticker,Company,Combined_Rank,Combined_Score,Market Cap_dr,Forward P/E_dr,P/B_dr,P/Free Cash Flow_dr,EPS growth this year_dr,EPS growth next year_dr,Dividend Yield_dr,Return on Assets_dr,Total Debt/Equity_dr,Institutional Ownership_dr,Float Short_dr,Performance (Month)_dr,Performance (Quarter)_dr,Average Volume_dr,Beta_dr,Market Cap,Forward P/E,P/B,P/Free Cash Flow,EPS growth this year,EPS growth next year,Dividend Yield,Return on Assets,Total Debt/Equity,Institutional Ownership,Float Short,Performance (Month),Performance (Quarter),Average Volume,Beta,Sector,Industry,Country,P/E,Price,Change,Volume,PEG,P/S,P/Cash,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Earnings Date,Shares Outstanding,Shares Float,Insider Ownership,Insider Transactions,Institutional Transactions,Short Ratio,Performance (Week),Performance (Half Year),Performance (Year),Performance (YTD),Volatility (Week),Volatility (Month),Analyst Recom,Relative Volume,Average True Range,20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,52-Week High,52-Week Low,Relative Strength Index (14),Change from Open,Gap,Market Cap_Rank,Forward P/E_Rank,P/B_Rank,P/Free Cash Flow_Rank,EPS growth this year_Rank,EPS growth next year_Rank,Dividend Yield_Rank,Return on Assets_Rank,Total Debt/Equity_Rank,Institutional Ownership_Rank,Float Short_Rank,Performance (Month)_Rank,Performance (Quarter)_Rank,Average Volume_Rank,Beta_Rank
368,AOS,A. O. Smith Corporation,4101,154,18,12,13,13,17,13,10,8,2,0,17,3,1,14,13,10364.72,18.59,5.81,72.03,-49.9,8.2,1.8,7.1,0.2,98.78,4.57,1.41,16.6,1181.18,1.26,Industrials,Specialty Industrial Machinery,USA,45.03,66.74,0.68%,875752,5.63,2.76,21.51,-6.90%,8.00%,4.60%,13.30%,11.30%,1.7,1.2,0.19,35.40%,6.00%,6.30%,1/31/2023 8:30,152.27,125.97,0.81%,-4.44%,0.57%,4.88,1.94%,32.11%,2.10%,16.60%,2.49%,2.38%,2.9,0.74,0.025921486,0.27%,2.38%,13.39%,-7.14%,43.28%,52.38,1.83%,-1.13%,458,317,342,336,449,343,255,209,71,18,449,92,39,375,348
369,MPWR,"Monolithic Power Systems, Inc.",4015,154,11,18,16,16,2,4,14,0,0,19,19,6,0,18,11,23415.7,30.99,13.67,469.25,79.1,18.85,0.82,23.4,0,0,6.22,-1.92,32.26,520.71,1.14,Technology,Semiconductors,USA,53.64,485.4,-4.92%,661312,3.81,13.05,31.73,27.50%,14.10%,30.70%,29.40%,26.30%,5.4,3.7,0,58.40%,29.40%,24.40%,2/8/2023 16:30,46.98,45.64,3.90%,-11.42%,4.52%,5.45,-0.60%,27.16%,4.68%,37.27%,4.06%,3.90%,1.9,1.27,0.044355171,-1.36%,3.80%,16.00%,-10.34%,60.89%,49.77,-3.98%,-0.97%,292,454,424,406,57,105,355,22,3,487,481,158,14,467,290
370,DXC,DXC Technology Company,4091,155,19,0,1,2,0,6,19,12,12,3,16,18,16,12,19,5446.38,5.84,1.16,10.53,562.8,14.96,0,3.8,1.02,94.4,3.36,-17.57,-12.8,1644.87,1.98,Technology,Information Technology Services,USA,7.96,23.36,0.47%,1539632,0.92,0.37,2.6,39.00%,8.67%,16.40%,15.10%,8.80%,1.1,1.1,0.83,21.40%,7.20%,4.80%,2/1/2023 16:30,229.54,226.41,0.50%,-5.33%,3.82%,4.63,1.92%,-11.18%,-27.61%,-11.85%,3.21%,3.39%,2.7,0.94,0.040239726,-9.36%,-15.01%,-16.49%,-35.11%,4.01%,34.39,2.23%,-1.72%,496,19,43,72,3,161,498,316,304,98,420,461,414,308,478
371,LDOS,"Leidos Holdings, Inc.",4113,155,16,6,8,5,12,10,10,10,12,13,4,13,16,16,4,12798.68,12.32,2.91,19.45,-5.7,10.8,1.58,5.3,1.14,78.6,1.05,-8.23,-13.65,878.61,0.78,Technology,Information Technology Services,USA,18.48,91.38,1.22%,953759,2.82,0.89,24.8,24.90%,6.55%,7.20%,16.80%,9.70%,0.9,0.9,0.91,14.50%,7.60%,4.80%,2/14/2023 8:30,137,135.35,0.50%,-11.63%,-1.69%,1.62,1.02%,0.77%,-14.46%,-13.13%,1.80%,1.87%,2.1,1.09,0.021339462,-3.00%,-5.41%,-7.91%,-17.76%,4.75%,38.64,1.20%,0.02%,420,154,219,132,312,260,272,264,320,344,109,338,427,416,126
372,LNT,Alliant Energy Corporation,4111,155,16,10,6,19,10,13,4,12,13,13,8,6,12,12,1,13094.85,16.51,2.07,3000,3.9,8.54,3.49,3.5,1.39,78.4,1.57,-2.19,-5.9,1512.98,0.53,Utilities,Utilities - Regulated Electric,USA,19.01,51.83,3.58%,1406449,3.43,3.11,654.74,7.50%,5.55%,4.50%,11.10%,6.00%,0.5,0.4,1.22,90.70%,22.10%,16.30%,2/23/2023 16:30,251.2,250.65,0.15%,0.00%,2.83%,2.6,-2.52%,-13.63%,-14.20%,-6.12%,3.14%,2.85%,2.9,0.93,0.026818445,0.15%,-2.31%,-7.34%,-20.71%,9.83%,48.2,3.37%,0.20%,416,266,152,483,256,330,112,323,344,350,226,167,310,325,51
373,CBOE,"Cboe Global Markets, Inc.",4046,155,16,11,10,9,18,16,11,13,6,10,7,4,6,17,1,13499.42,17.28,3.95,35.35,-55.4,5.47,1.55,3.1,0.5,84,1.34,0.43,2.45,704.86,0.49,Financial,Financial Data & Stock Exchanges,USA,59.22,129.28,1.65%,596063,21.65,3.41,25.74,2.80%,2.74%,12.20%,6.90%,5.60%,1.1,1.1,0.41,44.00%,12.40%,5.90%,2/3/2023 8:30,106,105.58,0.20%,-12.96%,-3.07%,2.01,2.97%,9.91%,12.13%,3.04%,2.12%,2.27%,2.5,0.85,0.022741337,3.36%,3.47%,6.13%,-2.07%,24.52%,59.6,1.87%,-0.21%,410,286,271,227,453,411,278,341,155,269,181,109,171,443,41
374,VRSN,"VeriSign, Inc.",4061,155,12,16,19,7,13,4,19,0,19,3,4,4,9,18,8,21264.02,24.73,1000,26.46,-10.8,16.93,0,37.4,100,95.5,1.05,-0.06,-1.43,575.7,1,Technology,Software - Infrastructure,USA,32.34,201.88,0.63%,528609,4.04,14.92,21.69,10.70%,8.00%,4.10%,-46.10%,326.40%,0.9,0.9,,85.90%,66.20%,47.30%,2/9/2023 16:30,105.5,104.83,1.10%,-9.61%,-2.12%,1.92,4.41%,15.60%,-4.70%,-1.73%,2.22%,1.79%,2,0.92,0.020061423,2.73%,-2.20%,5.46%,-11.77%,30.04%,54.05,0.79%,-0.16%,313,415,493,181,331,124,486,1,502,82,111,118,227,458,219
375,BF-B,Brown-Forman Corporation,4077,155,9,18,15,15,12,2,12,5,11,18,0,8,12,14,4,30545.86,30.98,9.93,299.47,-7.2,23.6,1.31,10.6,1,50.3,0.5,-3.38,-5.79,1283.91,0.71,Consumer Defensive,Beverages - Wineries & Distilleries,USA,41.61,62.95,1.88%,1373412,4.67,7.31,71.37,4.90%,8.91%,5.60%,25.00%,18.50%,2,0.9,0.67,59.50%,25.70%,17.40%,3/8/2023 8:30,479.15,470.8,1.75%,0.00%,0.34%,1.82,2.09%,-9.85%,-3.32%,-4.16%,1.64%,2.11%,3.3,1.07,0.020333598,-1.06%,-3.38%,-8.37%,-19.45%,4.52%,45.89,1.39%,0.49%,242,453,399,401,317,70,310,139,298,469,5,204,307,360,103
376,HPE,Hewlett Packard Enterprise Company,4103,156,13,1,0,16,18,17,4,16,8,9,11,14,15,1,13,18714.87,6.62,0.92,3000,-74.5,4.06,3.37,1.5,0.65,85.4,1.88,-9.59,-9.82,13384.98,1.25,Technology,Communication Equipment,USA,22.13,14.23,-0.28%,12699716,3.89,0.64,7.4,20.30%,5.70%,-0.30%,4.20%,2.20%,0.8,0.6,0.38,33.50%,3.00%,2.90%,3/2/2023 16:30,1298,1276.35,0.20%,-31.58%,-0.74%,1.8,0.92%,14.76%,-16.15%,-10.84%,2.06%,2.29%,2.4,0.95,0.025298665,-3.80%,-9.07%,-2.47%,-19.40%,19.58%,37.2,0.35%,-0.63%,331,32,21,418,468,439,119,406,214,247,280,372,378,37,341
377,NWL,Newell Brands Inc.,4107,156,19,3,2,17,18,1,0,16,14,3,19,19,14,4,7,4966.36,8.5,1.37,3000,-67.5,32.17,7.91,1.4,1.53,94.8,6.3,-21.52,-9.78,4675.52,0.95,Consumer Defensive,Household & Personal Products,USA,24.64,11.63,0.95%,5023606,33.07,0.53,17.3,-21.60%,0.74%,-0.20%,5.20%,5.50%,1.3,0.6,1.35,30.20%,4.70%,2.10%,2/10/2023 8:30,415.7,411.41,0.20%,-34.33%,1.00%,5.54,2.11%,-21.47%,-47.11%,-11.09%,3.09%,3.51%,2.5,1.07,0.042132416,-9.86%,-18.91%,-26.96%,-52.91%,3.38%,31.02,1.84%,-0.87%,498,77,64,432,465,43,8,410,360,88,482,480,376,123,201
378,EBAY,eBay Inc.,4146,156,11,3,11,4,19,11,8,19,14,7,13,11,6,4,15,22570.98,9.42,4.5,17.15,-700.7,9.87,2.34,-6.1,1.72,90,2.42,-5.93,3.34,4985.69,1.36,Consumer Cyclical,Internet Retail,USA,,42.66,0.49%,4541755,,2.3,3.04,-25.90%,5.15%,-0.30%,-22.80%,19.10%,2.2,2.2,1.5,72.60%,24.00%,-13.00%,2/22/2023 16:30,543,533.61,0.10%,-10.01%,-1.06%,2.59,1.43%,11.38%,-23.27%,2.87%,2.83%,2.50%,2.7,0.91,0.028598218,-2.02%,-8.01%,-2.89%,-29.35%,18.76%,41.72,1.07%,-0.57%,298,91,291,120,502,294,207,492,377,183,347,286,155,117,386
379,HCA,"HCA Healthcare, Inc.",4103,156,4,7,19,5,12,8,13,5,19,17,7,3,5,14,18,71529.88,13.13,1000,20.59,-9.5,12.29,0.94,10.9,100,66.8,1.41,0.89,4.66,1253.75,1.64,Healthcare,Medical Care Facilities,USA,13.21,254.22,0.57%,1021403,1.83,1.19,78.78,23.10%,7.24%,6.70%,-190.50%,20.50%,1.4,1.2,,84.40%,14.90%,9.40%,1/27/2023 8:30,280.64,210.77,0.10%,-30.59%,-2.34%,2.38,1.42%,31.00%,-2.45%,5.94%,2.28%,2.44%,1.8,0.81,0.024466997,1.72%,0.02%,15.09%,-8.89%,54.57%,52.38,1.07%,-0.49%,105,181,483,142,325,221,348,134,479,430,197,101,135,361,461
380,NSC,Norfolk Southern Corporation,4107,156,6,7,10,10,7,12,6,7,13,14,5,15,18,12,14,46408.25,13.44,3.62,41.92,14.5,8.67,2.7,8.3,1.19,76.8,1.18,-10.54,-18.82,1596.39,1.31,Industrials,Railroads,USA,14.42,200.26,0.42%,1398045,1.81,3.64,101.77,14.20%,7.98%,3.90%,25.00%,14.10%,0.8,0.7,1.14,50.10%,37.70%,25.60%,1/25/2023 8:30,230,227.46,0.10%,-9.83%,-1.29%,1.68,-1.79%,-10.88%,-27.76%,-18.73%,2.24%,2.43%,2.7,0.88,0.027214621,-6.37%,-13.66%,-15.30%,-31.31%,0.99%,26.12,1.40%,-0.97%,162,192,257,262,197,327,172,182,328,361,140,384,460,317,366
381,SWK,"Stanley Black & Decker, Inc.",4116,156,17,8,1,17,18,0,2,12,10,5,18,17,7,10,14,11734.47,14.4,1.13,3000,-88.7,431.55,4.31,3.9,0.77,91.8,5.68,-14.5,1.34,1918.8,1.32,Industrials,Tools & Accessories,USA,76.31,74.25,-1.62%,2240752,3.17,0.69,29.66,-33.60%,24.06%,5.50%,11.80%,2.60%,1.2,0.3,0.55,26.00%,1.90%,6.20%,2/2/2023 8:30,147.53,147.16,0.20%,-2.42%,1.79%,4.36,-4.43%,-8.07%,-47.44%,-1.16%,3.17%,3.15%,2.8,1.17,0.037441077,-9.26%,-13.19%,-15.97%,-49.90%,5.71%,31.04,-0.07%,-1.55%,433,205,40,437,476,4,66,315,253,147,474,438,187,268,373
382,IFF,International Flavors & Fragrances Inc.,4150,156,12,8,1,17,19,5,3,19,8,4,8,15,18,9,10,21740.82,14.84,1.22,3000,-764.2,15.66,3.84,-5,0.62,93.3,1.48,-11.15,-19,2123.96,1.11,Basic Materials,Specialty Chemicals,USA,,84.27,0.91%,1378258,,1.75,45.01,-27.30%,4.01%,29.60%,-9.90%,-5.50%,2,1.1,0.59,33.40%,-10.70%,-15.00%,2/8/2023 16:30,255,254.38,0.23%,0.00%,-0.76%,1.77,1.82%,-13.71%,-33.19%,-19.62%,2.18%,2.37%,2.4,0.65,0.028835885,-3.78%,-15.22%,-20.45%,-37.66%,3.36%,35.04,1.18%,-0.26%,306,215,51,435,503,146,87,491,203,123,210,395,463,247,275
383,MGM,MGM Resorts International,4132,156,15,18,9,4,3,0,15,13,15,16,14,9,1,5,19,15632.49,34.75,3.27,16.26,44.6,67.09,0.02,3.2,1.84,68.6,2.69,-4.73,18.92,4281.09,2.08,Consumer Cyclical,Resorts & Casinos,USA,12.15,41.11,-0.29%,4209069,,1.19,2.64,30.50%,,4.00%,28.20%,5.40%,1.8,1.8,1.56,49.30%,11.00%,11.00%,2/8/2023 16:30,383.75,306.13,17.50%,-0.61%,-7.38%,1.93,-0.34%,34.30%,-0.72%,22.61%,3.05%,3.00%,2.1,0.98,0.033811725,-4.48%,-2.26%,15.89%,-11.08%,55.66%,43.15,0.98%,-1.26%,381,464,237,114,97,23,398,339,383,421,372,252,29,137,485
384,DLR,"Digital Realty Trust, Inc.",4119,156,10,19,3,17,18,2,1,17,11,1,17,16,12,10,2,28128.87,73.44,1.62,3000,-80.9,22.85,5.17,0.9,0.98,98.4,4.34,-13.23,-6.05,2070.52,0.56,Real Estate,REIT - Specialty,USA,81.92,94.37,0.92%,2618825,,6,198.37,2.70%,,13.80%,2.00%,1.50%,,,0.98,60.10%,11.50%,7.20%,2/16/2023 16:30,289.4,287.2,0.11%,-3.06%,0.94%,6.03,-6.29%,-12.14%,-30.94%,-5.88%,4.41%,3.56%,2.3,1.26,0.039419307,-7.98%,-12.01%,-16.05%,-38.52%,10.04%,33.83,1.11%,-0.19%,258,496,95,449,470,76,39,430,293,28,440,418,314,255,58
385,ALB,Albemarle Corporation,4168,157,10,1,9,12,5,18,14,1,4,9,17,17,12,11,17,26274.18,7.45,3.2,56.9,30.2,1.57,0.73,20.2,0.4,85.8,4.56,-14.21,-6.38,1675.51,1.58,Basic Materials,Specialty Chemicals,USA,9.54,217.79,1.00%,1588077,,3.59,17.53,43.50%,,19.00%,40.40%,18.60%,1.9,1.1,0.4,42.00%,33.70%,36.70%,2/15/2023 16:30,117.16,116.97,0.10%,-17.76%,1.67%,3.18,4.46%,-19.97%,4.60%,0.43%,4.58%,4.10%,2.4,0.95,0.048992148,-7.28%,-13.77%,-14.30%,-34.90%,17.63%,38.66,2.53%,-1.50%,276,47,236,311,128,459,362,33,121,238,448,434,324,302,449
386,BBWI,"Bath & Body Works, Inc.",4179,157,18,3,18,4,5,3,8,1,19,2,17,18,16,7,18,8327.4,9.77,1000,14.48,27.9,22.69,2.25,18.3,100,96.6,4.5,-18.25,-13.61,2986.89,1.75,Consumer Cyclical,Specialty Retail,USA,10.42,35.61,3.67%,3505931,3.47,1.1,28.23,-0.20%,3.00%,-8.90%,-40.50%,43.90%,1.3,0.5,,43.10%,22.80%,12.70%,2/23/2023 8:30,228,222.32,0.20%,0.00%,-4.02%,3.35,3.43%,-2.06%,-27.07%,-15.50%,4.48%,3.75%,2,1.17,0.045773659,-5.54%,-15.30%,-5.37%,-38.78%,38.29%,36.68,4.21%,-0.52%,473,98,469,106,132,78,215,47,501,64,444,465,425,193,469
387,TRMB,Trimble Inc.,4147,157,16,10,8,9,12,16,16,9,4,3,3,12,8,14,17,12384.72,16.91,3.02,35.59,-7.2,5.52,0,6.3,0.38,95.7,1.01,-6.59,-0.74,1247.41,1.58,Technology,Scientific & Technical Instruments,USA,27.53,49.44,1.54%,1303479,2.75,3.37,45.7,64.60%,10.00%,6.80%,11.40%,8.80%,1,0.8,0.3,57.30%,16.80%,12.20%,2/8/2023 8:30,247.1,245.71,0.20%,-1.47%,-0.82%,1.99,1.42%,-12.94%,-28.83%,-2.22%,2.53%,2.49%,2.4,1.04,0.028519417,-1.79%,-8.30%,-14.68%,-33.96%,4.99%,42.53,1.94%,-0.39%,424,275,225,231,316,410,405,239,116,77,101,303,213,364,448
388,ORLY,"O'Reilly Automotive, Inc.",4171,157,5,13,19,5,9,9,18,2,19,9,8,8,9,18,6,51491.37,19.75,1000,19.92,7.6,11.34,0,17.8,100,85.6,1.5,-3.61,-2.74,465.44,0.88,Consumer Cyclical,Specialty Retail,USA,24.21,810.76,1.17%,314152,2.32,3.57,474.14,22.60%,10.45%,9.90%,-234.80%,70.30%,0.7,0.1,,51.20%,20.50%,15.10%,2/8/2023 16:30,62.55,61.08,0.60%,-20.83%,-2.81%,1.97,1.62%,16.90%,17.80%,-3.94%,1.86%,1.82%,2.1,0.67,0.019598895,-1.57%,-1.06%,6.67%,-7.23%,44.03%,45.42,0.88%,0.29%,142,337,500,139,236,239,465,54,497,243,211,217,246,474,171
389,MTD,Mettler-Toledo International Inc.,4192,157,9,17,19,10,6,9,18,0,18,2,7,4,7,19,12,32596.22,29.78,1303.35,44.17,17.2,11.65,0,25.9,81.23,96.4,1.39,-0.54,1.09,91.53,1.17,Healthcare,Diagnostics & Research,USA,37.95,1459.75,0.60%,63490,3.09,8.32,339.54,17.70%,12.30%,7.50%,,42.80%,1.2,0.8,76.96,58.90%,27.30%,22.30%,2/9/2023 16:30,22.21,22,0.10%,-79.59%,-0.82%,3.35,0.32%,28.55%,7.39%,0.99%,2.57%,2.47%,2.6,0.69,0.026627847,-0.12%,-3.08%,8.99%,-9.29%,36.99%,47.47,0.86%,-0.26%,233,448,503,272,173,232,464,13,465,69,193,125,192,502,308
390,ARE,"Alexandria Real Estate Equities, Inc.",4109,157,12,18,1,16,14,4,3,16,6,2,5,19,18,15,8,21299.12,31.67,1.05,3000,-16.9,16.82,4.04,1.5,0.54,95.89,1.16,-23.07,-18.4,1083.72,0.99,Real Estate,REIT - Office,USA,37.79,119.86,3.27%,1712377,,8.23,25.81,15.00%,-10.96%,18.10%,2.90%,1.90%,,,0.54,69.80%,21.60%,19.80%,1/30/2023 16:30,165.44,162.65,0.90%,-3.79%,-1.07%,1.75,-0.84%,-15.63%,-37.00%,-17.72%,3.14%,3.33%,1.7,1.58,0.03612548,-10.63%,-20.13%,-19.36%,-42.05%,3.43%,27.75,3.42%,-0.14%,311,458,32,413,360,125,78,404,174,75,132,486,458,389,214
391,ROL,"Rollins, Inc.",4131,157,13,18,16,14,10,9,11,2,1,18,17,2,9,14,3,18237.13,39.12,14.25,81.52,3.3,11.83,1.42,17.3,0.04,43.4,4.02,3.77,-2.06,1339.49,0.65,Consumer Cyclical,Personal Services,USA,48.89,36.62,1.24%,1057027,5.96,6.77,191.37,14.10%,8.20%,10.00%,31.30%,27.50%,0.7,0.6,0.03,51.50%,18.30%,13.70%,2/15/2023 16:30,492.35,236.31,44.10%,-6.61%,1.77%,7.1,1.52%,4.93%,9.58%,0.22%,1.44%,1.67%,2.6,0.79,0.017203714,3.06%,2.00%,-0.30%,-14.96%,16.51%,58.86,1.19%,0.06%,339,475,426,353,262,229,298,60,44,473,438,57,238,354,85
392,FFIV,"F5, Inc.",4161,158,19,4,9,4,11,6,19,9,0,19,16,6,8,18,10,7782.77,10.66,3.28,16.43,-1.2,15.12,0,5.9,0,0,3.25,-1.77,-0.7,516.78,1.09,Technology,Software - Infrastructure,USA,28.41,141.12,0.58%,340759,3.02,2.87,11.8,-4.10%,9.40%,5.20%,12.30%,12.10%,1.1,1.1,0,79.30%,14.10%,11.10%,1/24/2023 16:30,60.1,54.68,0.50%,-12.25%,2.89%,3.44,0.28%,-3.12%,-31.07%,-1.67%,2.47%,2.36%,2.7,0.66,0.025297619,-0.51%,-2.53%,-6.22%,-35.09%,5.57%,46.67,0.99%,-0.40%,480,121,238,115,288,156,496,252,1,503,412,155,212,469,263
393,CMI,Cummins Inc.,4189,158,9,5,10,15,10,18,6,7,10,9,9,14,13,15,8,32586.41,11.65,3.53,170.61,3.5,1.94,2.8,7.9,0.88,85.4,1.71,-9.59,-7.56,1032.24,1.01,Industrials,Specialty Industrial Machinery,USA,14.81,223.9,-1.01%,1366078,1.56,1.16,12.66,7.30%,9.50%,6.60%,24.90%,13.60%,1.3,0.8,0.5,24.00%,10.40%,7.70%,2/6/2023 8:30,141.5,140.44,0.20%,-38.24%,1.10%,2.32,-0.58%,8.14%,7.63%,-7.59%,2.36%,2.48%,2.4,1.32,0.029343457,-7.39%,-8.96%,-2.06%,-14.51%,21.50%,33.59,0.03%,-1.04%,234,138,253,388,260,453,162,190,277,248,252,371,342,397,224
394,CLX,The Clorox Company,4166,158,12,17,18,15,16,2,5,8,17,11,18,2,3,14,0,19564.65,29.28,60.58,135.87,-33.1,25.91,3,7.1,8.36,82.2,4.91,2.76,9.68,1188.18,0.28,Consumer Defensive,Household & Personal Products,USA,44.86,157.5,1.87%,740673,3.33,2.77,116.46,-6.90%,13.49%,3.50%,108.50%,14.30%,0.9,0.5,7.71,36.30%,8.10%,6.20%,2/2/2023 16:30,123.55,122.88,0.10%,0.00%,-1.40%,5.08,2.28%,11.48%,15.99%,12.24%,1.54%,1.67%,3.4,0.62,0.017079365,2.31%,4.98%,9.44%,-1.92%,30.71%,60.66,1.18%,0.68%,327,443,460,378,409,60,148,210,448,298,458,69,80,371,7
395,ESS,"Essex Property Trust, Inc.",4171,158,16,18,6,8,14,11,2,13,12,1,9,16,10,18,4,13246.8,33,2.27,34.16,-16.4,9.74,4.6,3.2,1.04,97.5,1.62,-13.55,-3.87,551.35,0.78,Real Estate,REIT - Residential,USA,31.95,200.77,2.34%,552254,4.04,8.24,397.8,-0.90%,7.90%,3.30%,7.00%,,,,1.04,70.90%,37.00%,25.40%,2/7/2023 16:30,64.72,63.98,1.20%,0.13%,0.31%,1.88,-3.10%,-19.06%,-40.11%,-5.26%,2.79%,2.81%,2.8,1,0.03053245,-8.20%,-10.22%,-16.37%,-44.75%,2.42%,34.52,2.68%,-0.33%,413,463,168,219,356,296,55,337,307,41,238,425,267,461,125
396,INVH,Invitation Homes Inc.,4197,158,13,19,4,12,4,10,4,15,9,19,15,13,8,6,7,18359.96,40,1.75,66.4,38.9,10.51,3.53,2.1,0.76,0,2.93,-8.54,-1.11,3329.9,0.91,Real Estate,REIT - Residential,USA,47.03,29.44,2.65%,3006537,3.61,8.2,69.84,34.40%,13.04%,16.20%,3.70%,3.40%,,,0.76,60.90%,27.80%,17.10%,2/15/2023 16:30,611.45,610.08,0.22%,0.00%,3.12%,5.36,-3.44%,-15.89%,-25.77%,-0.67%,3.32%,2.93%,2.3,0.9,0.030570652,-4.53%,-7.15%,-12.51%,-33.63%,3.23%,38.79,3.05%,-0.38%,337,478,115,326,112,273,109,386,250,495,396,345,221,174,180
397,F,Ford Motor Company,4205,159,6,1,1,17,19,14,1,18,16,18,16,9,6,0,17,47992.33,7.04,1.07,3000,-111.1,7.29,5.21,-0.8,3.21,52.9,3.33,-4.64,2.65,70521.33,1.55,Consumer Cyclical,Auto Manufacturers,USA,,11.51,0.79%,72414521,,0.3,1.09,-17.90%,-11.66%,0.20%,-4.50%,3.90%,1.2,1.1,2.05,10.90%,3.90%,-1.30%,2/2/2023 16:30,4005,3876.03,0.15%,-2.88%,0.45%,1.83,1.86%,-5.30%,-27.50%,3.98%,3.61%,3.63%,2.8,1.03,0.041702867,-4.83%,-6.79%,-8.14%,-32.06%,13.97%,41.22,1.86%,-1.05%,154,41,33,439,482,372,37,477,425,467,417,249,167,3,442
398,CHTR,"Charter Communications, Inc.",4193,159,5,3,13,2,5,4,19,13,17,16,19,15,4,14,10,51970.85,8.54,5.79,9.37,25.6,17.23,0,3.5,10.7,67.8,9,-10.25,7.04,1204.77,1.11,Communication Services,Telecom Services,USA,11.18,343.95,0.52%,964421,0.63,0.96,80.57,62.10%,17.66%,5.40%,50.60%,9.70%,0.3,0.3,10.54,45.30%,22.10%,9.40%,1/27/2023 8:30,153.44,99.13,12.30%,0.00%,-3.78%,7.41,-1.73%,2.99%,-38.58%,1.43%,2.83%,3.08%,2.6,0.8,0.03276639,-2.58%,-9.00%,-12.23%,-40.15%,15.55%,39.43,0.97%,-0.45%,140,80,339,64,138,121,485,331,452,427,489,382,105,367,273
399,NTRS,Northern Trust Corporation,4192,159,13,5,4,3,13,12,3,17,18,10,10,15,12,14,10,18196.92,11.05,1.68,12.02,-14,9.04,3.6,0.8,13.38,85.1,1.77,-10.73,-6.21,1192.83,1.11,Financial,Asset Management,USA,13.59,83.43,0.25%,1102926,3.08,2.43,3.91,5.50%,4.42%,6.10%,12.40%,0.90%,,,0.46,90.30%,23.60%,17.10%,1/19/2023 8:30,208.42,207.3,0.20%,-0.53%,-0.06%,3.07,2.08%,-6.77%,-27.79%,-5.72%,2.89%,3.10%,2.9,0.92,0.036437732,-6.09%,-10.71%,-10.25%,-31.19%,9.56%,39.11,2.49%,-2.19%,341,128,104,89,347,316,100,440,456,254,266,389,322,370,270
400,AMCR,Amcor plc,4194,159,14,7,10,16,13,16,2,9,14,18,11,7,14,2,6,16376.2,13.39,3.71,744.37,-12.2,5.29,4.48,6.1,1.59,48.5,1.88,-3.27,-9.67,8128.19,0.85,Consumer Cyclical,Packaging & Containers,Switzerland,15.35,10.93,0.83%,6141503,5.38,1.09,19.57,1.80%,2.85%,9.80%,25.20%,8.90%,1.3,0.8,1.57,19.10%,10.20%,7.10%,2/7/2023 16:30,1475,1474.71,0.20%,-26.71%,-0.80%,3.41,2.15%,-1.97%,-2.58%,-8.23%,1.89%,1.78%,3,0.76,0.020128088,-0.31%,-4.33%,-7.91%,-19.66%,4.89%,45.32,1.20%,-0.37%,371,190,261,408,338,416,60,245,365,470,278,200,373,64,155
401,CMA,Comerica Incorporated,4240,160,19,0,1,7,10,18,0,16,8,10,13,19,19,7,13,5803.06,4.14,1.11,28.59,1.4,1.18,7.03,1.3,0.63,84.9,2.44,-42.29,-37.87,2905.93,1.25,Financial,Banks - Regional,USA,4.77,40.4,-0.74%,8393822,,2.17,0.9,12.20%,-10.70%,4.10%,20.30%,26.60%,,,0.63,,90.00%,42.00%,1/19/2023 8:30,131,130.17,0.40%,-2.25%,0.97%,1.09,-7.32%,-46.95%,-56.73%,-39.57%,9.68%,11.03%,2.1,2.89,0.118316832,-29.32%,-39.05%,-43.95%,-58.57%,38.50%,26.12,0.95%,-1.67%,493,5,38,191,272,461,10,413,209,259,349,501,499,197,343
402,PH,Parker-Hannifin Corporation,4148,160,7,8,11,7,15,12,10,11,14,9,7,13,3,16,17,42383.72,14.96,4.42,27.25,-24.4,9.45,1.66,4.6,1.5,85.9,1.37,-8.06,9.8,950.2,1.52,Industrials,Specialty Industrial Machinery,USA,33.13,320.87,0.14%,800466,2.99,2.47,54.5,6.80%,11.10%,5.70%,14.00%,12.20%,1.3,0.7,1.29,30.60%,16.00%,7.30%,2/2/2023 8:30,128.31,127.78,0.20%,-24.49%,-0.41%,1.84,5.23%,28.13%,11.90%,10.26%,3.09%,2.78%,2.2,0.84,0.032754698,-5.27%,-4.14%,10.22%,-11.99%,39.24%,41.59,1.66%,-1.50%,181,222,289,184,383,304,266,289,357,236,188,332,78,406,433
